date	clade
2020/06/30	A2a
2020/07/02	A2a
2020/07/03	A2a
2020/07/04	A2a
2020/06/15	A2a
2020/06/05	A2a
2020/04/30	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/04/13	A2a
2020/04/29	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/06/15	A2a
2020/04/29	A2a
2020/06/19	A2a
2020/06/19	A2a
2020/06/20	A2a
2020/06/20	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/08	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	B4
2020/04/29	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/12	A2a
2020/06/12	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/04/29	A2a
2020/06/25	A2a
2020/07/27	A2a
2020/07/27	A2a
2020/07/27	A2a
2020/07/27	A2a
2020/06/12	B4
2020/06/12	B4
2020/07/06	A2a
2020/07/06	A2a
2020/07/06	A2a
2020/07/09	A2a
2020/07/09	A2a
2020/07/09	A2a
2020/07/09	A2a
2020/04/29	A2a
2020/07/09	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/04/29	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/18	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/06/25	A2a
2020/04/29	A2a
2020/06/15	A2a
2020/06/05	A2a
2020/06/05	A2a
2020/04/29	A2a
2020/04/29	A2a
2020/04/29	A2a
2020/04/13	A2a
2020/04/29	A2a
2020/04/29	A2a
2020/04/29	A2a
2020/04/29	A2a
2020/04/29	A2a
2020/04/29	A2a
2020/04/29	A2a
2020/04/30	A2a
2020/04/29	A2a
2020/04/30	A2a
2020/04/13	A2a
2020/04/30	A2a
2020/05/02	A2a
2020/05/02	A2a
2020/05/04	A2a
2020/05/04	A2a
2020/05/04	A2a
2020/05/03	A2a
2020/05/03	A2a
2020/05/03	A2a
2020/05/03	A2a
2020/05/03	A2a
2020/04/07	A2a
2020/05/03	A2a
2020/05/03	A2a
2020/05/03	A2a
2020/05/03	A2a
2020/05/03	A2a
2020/05/03	A2a
2020/05/03	A2a
2020/05/03	A2a
2020/05/03	A2a
2020/05/03	A2a
2020/05/03	A2a
2020/05/04	A2a
2020/04/14	A2a
2020/04/29	A2a
2020/04/27	A2a
2020/04/29	A2a
2020/04/29	A2a
2020/04/29	A2a
2020/05/02	A2a
2020/04/29	A2a
2020/05/05	A2a
2020/05/05	A2a
2020/05/05	A2a
2020/05/05	A2a
2020/05/05	A2a
2020/05/05	A2a
2020/04/22	A2a
2020/04/28	B4
2020/05/05	A2a
2020/05/05	A2a
2020/05/05	A2a
2020/05/05	A2a
2020/05/05	A2a
2020/05/05	A2a
2020/05/05	A2a
2020/04/28	A2a
2020/04/28	A2a
2020/05/03	A2a
2020/05/03	A2a
2020/04/25	A2a
2020/04/21	A2a
2020/05/02	A2a
2020/04/27	A2a
2020/04/26	A2a
2020/04/28	A2a
2020/05/09	A2a
2020/04/11	A2a
2020/04/11	A2a
2020/05/09	I/A3i
2020/05/10	A2a
2020/05/10	A2a
2020/05/11	I/A3i
2020/05/06	A2a
2020/05/28	A2a
2020/08/25	A2a
2020/08/25	A2a
2020/08/25	A2a
2020/08/25	A2a
2020/08/25	A2a
2020/08/25	A2a
2020/08/25	A2a
2020/08/25	A2a
2020/08/25	A2a
2020/08/25	A2a
2020/08/25	A2a
2020/08/25	A2a
2020/08/27	A2a
2020/08/27	A2a
2020/08/27	A2a
2020/08/27	A2a
2020/08/27	A2a
2020/08/27	A2a
2020/08/27	A2a
2020/06/10	A2a
2020/03/29	Unassigned
2020/06/12	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/14	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/19	I/A3i
2020/06/19	A2a
2020/06/19	A2a
2020/06/22	A2a
2020/06/14	A2a
2020/06/22	A2a
2020/05/06	A2a
2020/06/14	A2a
2020/05/12	A2a
2020/06/14	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/06/17	A2a
2020/04/07	I/A3i
2020/04/11	I/A3i
2020/04/13	I/A3i
2020/04/07	I/A3i
2020/04/07	I/A3i
2020/04/07	I/A3i
2020/04/16	I/A3i
2020/04/16	I/A3i
2020/04/16	I/A3i
2020/04/16	I/A3i
2020/04/27	I/A3i
2020/04/27	I/A3i
2020/04/27	I/A3i
